IACO,IATA,NOMBRE,CIUDAD INGLES,CIUDAD ESPANOL,PAIS INGLES,PAIS ESPAÑOL,GRADOS LONGITUD,GRADOS LATITUD,ALTITUD,NULL
BGTL,THU,THULE AIR BASE,THULE,THULE,GREENLAND,GROENLANDIA,68.703,76.531,251,76.51
BGTM,,,TINGMIARMIUT,TINGMIARMIUT,GREENLAND,GROENLANDIA,0.0,0.0,0,0.0
BGTN,,,TINITEQILAQ,TINITEQILAQ,GREENLAND,GROENLANDIA,0.0,0.0,0,0.0
BGUM,,,UMANAK,UMANAK,GREENLAND,GROENLANDIA,0.0,0.0,0,0.0
BGUP,JUV,,UPERNAVIK,Upernavik,GREENLAND,GROENLANDIA,0.0,0.0,0,0.0
BIAR,AEY,AKUREYRI,AKUREYRI,AKUREYRI,ICELAND,ISLANDIA,18.072,65.66,6,1.83
BIBL,,,BLONDUOS,Blönduós,ICELAND,ISLANDIA,0.0,0.0,0,0.0
BIDV,,,DJUOIVOGUR,DJUOIVOGUR,ICELAND,ISLANDIA,0.0,0.0,0,0.0
BIEG,EGS,EGILSSTADIR,EGILSSTADIR,Egilsstadir,ICELAND,ISLANDIA,14.401,65.283,76,23.17
BIFM,,,FAGURHOLSMYRI,FAGURHOLSMYRI,ICELAND,ISLANDIA,0.0,0.0,0,0.0
BIGR,GRY,,GRIMSEY,Grímsey,ICELAND,ISLANDIA,0.0,0.0,0,0.0
BIHN,HFN,HORNAFJORDUR,HOFN,Höfn,ICELAND,ISLANDIA,15.227,64.296,24,7.32
BIHU,HZK,HUSAVIK,HUSAVIK,HUSAVIK,ICELAND,ISLANDIA,17.426,65.952,45,13.72
BIIS,IFJ,ISAFJORDUR,ISAFJORDUR,Isafjordur,ICELAND,ISLANDIA,23.135,66.058,8,2.44
BIKF,KEF,KEFLAVIK NAS,KEFLAVIK,Keflavik,ICELAND,ISLANDIA,22.606,63.985,171,52.12
BIKP,OPA,KOPASKER,KOPASKER,KOPASKER,ICELAND,ISLANDIA,16.461,66.314,20,6.1
BIKR,SAK,,SAUDARKROKUR,Sauðárkrókur,ICELAND,ISLANDIA,0.0,0.0,0,0.0
BINF,NOR,,NORDFJORDUR,NORDFJORDUR,ICELAND,ISLANDIA,0.0,0.0,0,0.0
BIPA,PFJ,PATREKSFJORDUR,PATREKSFJORDUR,Patreksfjörður,ICELAND,ISLANDIA,23.965,65.556,11,3.35
BIRG,RFN,,RAUFARHOFN,Raufarhöfn,ICELAND,ISLANDIA,0.0,0.0,0,0.0
BIRK,RKV,REYKJAVIK,REYKJAVIK,REYKJAVIK,ICELAND,ISLANDIA,21.941,64.13,48,14.63
BISI,SIJ,SIGLUFJORDHUR,SIGLUFJORDUR,Siglufjörður,ICELAND,ISLANDIA,18.917,66.133,10,3.05
BISS,,,SANDSKEID,SANDSKEID,ICELAND,ISLANDIA,0.0,0.0,0,0.0
BIST,,,STYKKISHOLMUR,Stykkishólmur,ICELAND,ISLANDIA,0.0,0.0,0,0.0
BITE,TEY,,THINGEYRI,THINGEYRI,ICELAND,ISLANDIA,0.0,0.0,0,0.0
BITH,THO,,THORSHOFN,THORSHOFN,ICELAND,ISLANDIA,0.0,0.0,0,0.0
BIVM,VEY,VESTMANNAEYJAR,VESTMANNAEYJAR,VESTMANNAEYJAR,ICELAND,ISLANDIA,20.279,63.424,326,99.37
BIVO,VPN,,VOPNAFJORDUR,VOPNAFJORDUR,ICELAND,ISLANDIA,0.0,0.0,0,0.0
BZGD,,,GODLEY,GODLEY,NEW ZEALAND,NUEVA ZELANDA,0.0,0.0,0,0.0
CUAP,,,ACTIVE PASS,PASS ACTIVO,CANADA,CANADÁ,0.0,0.0,0,0.0
CUHA,YQC,,QUAQTAQ,Quaqtaq,CANADA,CANADÁ,0.0,0.0,0,0.0
CUQC,,,STIRLING,STIRLING,CANADA,CANADÁ,0.0,0.0,0,0.0
CUUP,,,OTTAWA,OTTAWA,CANADA,CANADÁ,0.0,0.0,0,0.0
CWBF,,,BATTLE HARBOUR,BATALLA HARBOUR,CANADA,CANADÁ,0.0,0.0,0,0.0
CWHJ,,,HOLBERG,HOLBERG,CANADA,CANADÁ,0.0,0.0,0,0.0
CWMK,,,SIMCOE,SIMCOE,CANADA,CANADÁ,0.0,0.0,0,0.0
CWMN,,,MOUNT FOREST,MONTAJE DE LA SELVA,CANADA,CANADÁ,0.0,0.0,0,0.0
CWOH,,,SAINTE AGATHE,Sainte Agathe,CANADA,CANADÁ,0.0,0.0,0,0.0
CWPC,,,PINCHER CREEK,Pincher Creek,CANADA,CANADÁ,0.0,0.0,0,0.0
CWPO,,,PILOT MOUNT,PILOTO DEL MONTAJE,CANADA,CANADÁ,0.0,0.0,0,0.0
CWVA,,,BONAVISTA,BONAVISTA,CANADA,CANADÁ,0.0,0.0,0,0.0
CYAB,YAB,,ARCTIC BAY,Arctic Bay,CANADA,CANADÁ,0.0,0.0,0,0.0
CYAJ,,,KOMAKUK,KOMAKUK,CANADA,CANADÁ,0.0,0.0,0,0.0
CYAL,YAL,,ALERT BAY,Alert Bay,CANADA,CANADÁ,0.0,0.0,0,0.0
CYAM,YAM,SAULT STE MARIE,SAULT SAINTE MARIE,Sault Sainte Marie,CANADA,CANADÁ,84.509,46.485,630,192.02
CYAV,YAV,WINNIPEG ST ANDREWS,WINNIPEG,WINNIPEG,CANADA,CANADÁ,97.032,50.056,760,231.65
CYAW,YAW,SHEARWATER,HALIFAX,HALIFAX,CANADA,CANADÁ,63.499,44.64,167,50.9
CYAY,YAY,ST ANTHONY,ST. ANTHONY,ST. ANTHONY,CANADA,CANADÁ,56.084,51.392,92,28.04
CYAZ,YAZ,TOFINO,TOFINO,TOFINO,CANADA,CANADÁ,125.772,49.082,80,24.38
CYBA,,,BANFF,BANFF,CANADA,CANADÁ,0.0,0.0,0,0.0
CYBB,YBB,KUGAARUK,PELLY BAY,Pelly Bay,CANADA,CANADÁ,89.808,68.534,56,17.07
CYBC,YBC,BAIE COMEAU,BAIE COMEAU,BAIE Comeau,CANADA,CANADÁ,68.207,49.132,71,21.64
CYBG,YBG,BAGOTVILLE,BAGOTVILLE,Bagotville,CANADA,CANADÁ,70.996,48.331,522,159.11
CYBK,YBK,BAKER LAKE,BAKER LAKE,Lago Baker,CANADA,CANADÁ,96.078,64.299,59,17.98
CYBL,YBL,CAMPBELL RIVER,CAMPBELL RIVER,CAMPBELL RIVER,CANADA,CANADÁ,125.271,49.951,346,105.46
CYBR,YBR,BRANDON MUNI,BRANDON,BRANDON,CANADA,CANADÁ,99.952,49.91,1343,409.35
CYBT,YBT,,BROCHET,BROCHET,CANADA,CANADÁ,0.0,0.0,0,0.0
CYCA,YRF,,CARTWRIGHT,CARTWRIGHT,CANADA,CANADÁ,0.0,0.0,0,0.0
CYCB,YCB,CAMBRIDGE BAY,CAMBRIDGE BAY,Cambridge Bay,CANADA,CANADÁ,105.138,69.108,90,27.43
CYCD,YCD,NANAIMO,NANAIMO,Nanaimo,CANADA,CANADÁ,123.87,49.052,93,28.35
CYCG,YCG,CASTLEGAR,CASTLEGAR,Castlegar,CANADA,CANADÁ,117.632,49.296,1624,495.0
CYCH,YCH,MIRAMICHI,CHATHAM,CHATHAM,CANADA,CANADÁ,65.449,47.008,108,32.92
CYCL,YCL,CHARLO,CHARLO,Charlo,CANADA,CANADÁ,66.331,47.991,132,40.23
CYCO,YCO,KUGLUKTUK,COPPERMINE,Coppermine,CANADA,CANADÁ,115.144,67.817,74,22.56
CYCS,YCS,,CHESTERFIELD INLET,Chesterfield Inlet,CANADA,CANADÁ,0.0,0.0,0,0.0
CYCT,YCT,CORONATION,CORONATION,CORONACIÓN,CANADA,CANADÁ,111.445,52.075,2595,790.96
CYCV,YCV,,MONTREAL,MONTREAL,CANADA,CANADÁ,0.0,0.0,0,0.0
CYCW,YCW,CHILLIWACK,CHILLIWACK,CHILLIWACK,CANADA,CANADÁ,121.939,49.153,32,9.75
CYCX,,,CAMP GAGETOWN,CAMP GAGETOWN,CANADA,CANADÁ,0.0,0.0,0,0.0
CYCY,YCY,CLYDE RIVER,CLYDE RIVER,Río Clyde,CANADA,CANADÁ,68.517,70.486,87,26.52
CYCZ,YZS,FAIRMONT HOT SPRINGS,CORAL HARBOUR,Coral Harbour,CANADA,CANADÁ,115.874,50.332,2658,810.16
CYDA,YDA,DAWSON,DAWSON,DAWSON,CANADA,CANADÁ,139.128,64.043,1214,370.03
CYDB,YDB,BURWASH,BURWASH,Burwash,CANADA,CANADÁ,139.041,61.371,2647,806.81
CYDC,YDC,PRINCETON,PRINCETON,PRINCETON,CANADA,CANADÁ,120.512,49.468,2298,700.43
CYDF,YDF,DEER LAKE,DEER LAKE,Deer Lake,CANADA,CANADÁ,57.391,49.211,72,21.95
CYDL,YDL,DEASE LAKE,DEASE LAKE,Dease LAGO,CANADA,CANADÁ,130.032,58.422,2600,792.48
CYDN,YDN,DAUPHIN BARKER,DAUPHIN,BORBÓN,CANADA,CANADÁ,100.052,51.101,998,304.19
CYDQ,YDQ,DAWSON CREEK,DAWSON CREEK,DAWSON CREEK,CANADA,CANADÁ,120.182,55.742,2148,654.71
CYDR,,,BROADVIEW,BROADVIEW,CANADA,CANADÁ,0.0,0.0,0,0.0
CYED,YED,EDMONTON NAMAO,EDMONTON,EDMONTON,CANADA,CANADÁ,113.467,53.667,0,0.0
CYEG,YEG,EDMONTON INTERNATIONAL,EDMONTON,EDMONTON,CANADA,CANADÁ,113.58,53.31,2373,723.29
CYEK,YEK,ARVIAT,ESKIMO POINT,ESKIMO PUNTO,CANADA,CANADÁ,94.071,61.094,32,9.75
CYEN,YEN,ESTEVAN,ESTEVAN,ESTEVAN,CANADA,CANADÁ,102.966,49.21,1905,580.64
CYEP,,,ESTEVAN POINT,ESTEVAN PUNTO,CANADA,CANADÁ,0.0,0.0,0,0.0
CYET,YET,EDSON,EDSON,EDSON,CANADA,CANADÁ,116.465,53.579,3041,926.9
CYEU,YEU,EUREKA,EUREKA,EUREKA,CANADA,CANADÁ,85.813,79.995,256,78.03
CYEV,YEV,INUVIK MIKE ZUBKO,INUVIK,Inuvik,CANADA,CANADÁ,133.483,68.304,224,68.28
CYFB,YFB,IQALUIT,IQALUIT,Iqaluit,CANADA,CANADÁ,68.556,63.756,110,33.53
CYFC,YFC,FREDERICTON,FREDERICTON,Fredericton,CANADA,CANADÁ,66.532,45.869,68,20.73
CYFE,,FORESTVILLE,FORESTVILLE,Forestville,CANADA,CANADÁ,69.097,48.746,29,8.84
CYFL,,,FORT RELIANCE,FORT CONFIANZA,CANADA,CANADÁ,0.0,0.0,0,0.0
CYFO,YFO,FLIN FLON,FLIN FLON,Flin Flon,CANADA,CANADÁ,101.682,54.678,997,303.89
CYFR,YFR,FORT RESOLUTION,FORT RESOLUTION,FORT DE RESOLUCIÓN,CANADA,CANADÁ,113.69,61.181,526,160.33
CYFS,YFS,FORT SIMPSON,FORT SIMPSON,Fort Simpson,CANADA,CANADÁ,121.237,61.76,555,169.16
CYGA,,,GAGNON,GAGNON,CANADA,CANADÁ,0.0,0.0,0,0.0
CYGK,YGK,KINGSTON,KINGSTON,KINGSTON,CANADA,CANADÁ,76.597,44.225,305,92.96
CYGL,YGL,LA GRANDE RIVIERE,LA GRANDE RIVIERE,LA GRANDE RIVIERE,CANADA,CANADÁ,77.704,53.625,639,194.77
CYGP,YGP,GASPE,GASPE,Gaspé,CANADA,CANADÁ,64.479,48.775,108,32.92
CYGQ,YGQ,GERALDTON GREENSTONE REGIONAL,GERALDTON,Geraldton,CANADA,CANADÁ,86.939,49.778,1144,348.69
CYGR,YGR,ILES DE LA MADELEINE,ILES DE LA MADELEINE,ILES DE LA MAGDALENA,CANADA,CANADÁ,61.778,47.425,34,10.36
CYGT,YGT,,IGLOOLIK,Igloolik,CANADA,CANADÁ,0.0,0.0,0,0.0
CYGW,YGW,KUUJJUARAPIK,KUUJJUARARAPIK,KUUJJUARARAPIK,CANADA,CANADÁ,77.767,55.283,65,19.81
CYGX,YGX,GILLAM,GILLAM,Gillam,CANADA,CANADÁ,94.7,56.35,470,143.26
CYGY,,,DECEPTION,ENGAÑO,CANADA,CANADÁ,0.0,0.0,0,0.0
CYGZ,YGZ,,GRISE FIORD,Grise Fiord,CANADA,CANADÁ,0.0,0.0,0,0.0
CYHB,YHB,HUDSON BAY,HUDSON BAY,La bahía de Hudson,CANADA,CANADÁ,102.311,52.817,1175,358.14
CYHD,YHD,DRYDEN RGNL,DRYDEN,DRYDEN,CANADA,CANADÁ,92.744,49.832,1354,412.7
CYHE,,,HOPE,ESPERANZA,CANADA,CANADÁ,0.0,0.0,0,0.0
CYHI,YHI,HOLMAN,HOLMAN ISLAND,Holman ISLA,CANADA,CANADÁ,117.806,70.763,117,35.66
CYHK,YHK,GJOA HAVEN,GJOA HAVEN,Gjøa HAVEN,CANADA,CANADÁ,95.85,68.636,152,46.33
CYHM,YHM,HAMILTON,HAMILTON,HAMILTON,CANADA,CANADÁ,79.935,43.173,780,237.74
CYHO,YHO,,HOPEDALE,Hopedale,CANADA,CANADÁ,0.0,0.0,0,0.0
CYHU,YHU,ST HUBERT,MONTREAL,MONTREAL,CANADA,CANADÁ,73.417,45.518,90,27.43
CYHY,YHY,HAY RIVER,HAY RIVER,Hay River,CANADA,CANADÁ,115.783,60.84,543,165.51
CYHZ,YHZ,HALIFAX INTERNATIONAL,HALIFAX,HALIFAX,CANADA,CANADÁ,63.509,44.881,477,145.39
CYIB,YIB,ATIKOKAN MUNI,ATIKOKAN,Atikokan,CANADA,CANADÁ,91.639,48.774,1408,429.16
CYIO,YIO,POND INLET,POND INLET,Pond Inlet,CANADA,CANADÁ,77.967,72.683,181,55.17
CYIV,YIV,,ISLAND LAKE,ISLA DE LAGO,CANADA,CANADÁ,0.0,0.0,0,0.0
CYJA,,,JASPER,JASPER,CANADA,CANADÁ,0.0,0.0,0,0.0
CYJN,YJN,ST JEAN,ST. JEAN,ST. JEAN,CANADA,CANADÁ,73.281,45.294,136,41.45
CYJT,YJT,STEPHENVILLE,STEPHENVILLE,Stephenville,CANADA,CANADÁ,58.55,48.544,84,25.6
CYKA,YKA,KAMLOOPS,KAMLOOPS,Kamloops,CANADA,CANADÁ,120.442,50.702,1133,345.34
CYKF,YKF,WATERLOO RGNL,WATERLOO,WATERLOO,CANADA,CANADÁ,80.384,43.459,1040,316.99
CYKL,YKL,SCHEFFERVILLE,SCHEFFERVILLE,Schefferville,CANADA,CANADÁ,66.805,54.805,1709,520.9
CYKY,YKY,KINDERSLEY,KINDERSLEY,Kindersley,CANADA,CANADÁ,109.181,51.518,2277,694.03
CYKZ,YKZ,BUTTONVILLE MUNI,TORONTO,TORONTO,CANADA,CANADÁ,79.37,43.862,650,198.12
CYLA,,,LANGARA,Lángara,CANADA,CANADÁ,0.0,0.0,0,0.0
CYLC,YLC,,LAKE HARBOUR,LAKE HARBOUR,CANADA,CANADÁ,0.0,0.0,0,0.0
CYLD,YLD,CHAPLEAU,CHAPLEAU,Chapleau,CANADA,CANADÁ,83.346,47.82,1465,446.53
CYLJ,YLJ,MEADOW LAKE,MEADOW LAKE,Meadow Lake,CANADA,CANADÁ,108.523,54.125,1576,480.37
CYLL,YLL,LLOYDMINSTER,LLOYDMINSTER,Lloydminster,CANADA,CANADÁ,110.072,53.309,2194,668.73
CYLO,,,SHILO,Shilo,CANADA,CANADÁ,0.0,0.0,0,0.0
CYLT,YLT,ALERT,ALERT,ALERTA,CANADA,CANADÁ,62.281,82.518,100,30.48
CYLW,YLW,KELOWNA,KELOWNA,KELOWNA,CANADA,CANADÁ,119.378,49.956,1409,429.46
CYLY,,,LYTTON,Lytton,CANADA,CANADÁ,0.0,0.0,0,0.0
CYMA,YMA,MAYO,MAYO,MAYO,CANADA,CANADÁ,135.867,63.617,1653,503.83
CYMD,,,MOULD BAY,MOLDE BAY,CANADA,CANADÁ,0.0,0.0,0,0.0
CYMJ,YMJ,MOOSE JAW,MOOSE JAW,Moose Jaw,CANADA,CANADÁ,105.559,50.33,1892,576.68
CYMM,YMM,FORT MCMURRAY,FORT MCMURRAY,Fort McMurray,CANADA,CANADÁ,111.222,56.653,1211,369.11
CYMO,YMO,MOOSONEE,MOOSONEE,Moosonee,CANADA,CANADÁ,80.608,51.291,30,9.14
CYMR,,,MERRY ISLAND,MERRY ISLA,CANADA,CANADÁ,0.0,0.0,0,0.0
CYMW,YMW,MANIWAKI,MANIWAKI,Maniwaki,CANADA,CANADÁ,75.99,46.274,659,200.86
CYMX,YMX,MONTREAL INTERNATIONAL MIRABEL,MONTREAL,MONTREAL,CANADA,CANADÁ,74.039,45.68,270,82.3
CYNA,YNA,NATASHQUAN,NATASHQUAN,Natashquan,CANADA,CANADÁ,61.789,50.19,35,10.67
CYND,YND,GATINEAU,GATINEAU,GATINEAU,CANADA,CANADÁ,75.564,45.521,211,64.31
CYNI,,,NITCHEQUON,NITCHEQUON,CANADA,CANADÁ,0.0,0.0,0,0.0
CYNM,YNM,MATAGAMI,MATAGAMI,Matagami,CANADA,CANADÁ,77.803,49.762,918,279.81
CYNY,,,ENDERBY,Enderby,CANADA,CANADÁ,0.0,0.0,0,0.0
CYO,,,WYNYARD,Wynyard,CANADA,CANADÁ,0.0,0.0,0,0.0
CYOC,YOC,OLD CROW,OLD CROW,OLD CROW,CANADA,CANADÁ,139.839,67.571,824,251.16
CYOD,YOD,COLD LAKE,COLD LAKE,Cold Lake,CANADA,CANADÁ,110.279,54.405,1775,541.02
CYOJ,YOJ,HIGH LEVEL,HIGH LEVEL,ALTO NIVEL,CANADA,CANADÁ,117.165,58.621,1110,338.33
CYOW,YOW,OTTAWA MACDONALD CARTIER INTERNATIONAL,OTTAWA,OTTAWA,CANADA,CANADÁ,75.669,45.323,374,114.0
CYPA,YPA,PRINCE ALBERT GLASS FIELD,PRINCE ALBERT,PRINCE ALBERT,CANADA,CANADÁ,105.673,53.214,1405,428.24
CYPE,YPE,PEACE RIVER,PEACE RIVER,Peace River,CANADA,CANADÁ,117.447,56.227,1873,570.89
CYPF,,,ESQUIMALT,Esquimalt,CANADA,CANADÁ,0.0,0.0,0,0.0
CYPG,YPG,SOUTHPORT,PORTAGE-LA-PRAIRIE,PORTAGE-LA PRAIRIE-,CANADA,CANADÁ,98.275,49.903,885,269.75
CYPH,YPH,,INUKJUAK,Inukjuak,CANADA,CANADÁ,0.0,0.0,0,0.0
CYPK,,PITT MEADOWS,PITT MEADOWS,PITT MEADOWS,CANADA,CANADÁ,122.71,49.216,11,3.35
CYPL,YPL,PICKLE LAKE,PICKLE LAKE,Pickle Lake,CANADA,CANADÁ,90.214,51.446,1267,386.18
CYPN,YPN,PORT MENIER,PORT MENIER,PUERTO Menier,CANADA,CANADÁ,64.289,49.836,167,50.9
CYPQ,YPQ,PETERBOROUGH,PETERBOROUGH,Peterborough,CANADA,CANADÁ,78.363,44.23,628,191.41
CYPR,YPR,PRINCE RUPERT,PRINCE PUPERT,PRINCE PUPERT,CANADA,CANADÁ,130.445,54.286,116,35.36
CYPY,YPY,FORT CHIPEWYAN,FORT CHIPEWYAN,Fort Chipewyan,CANADA,CANADÁ,111.117,58.767,761,231.95
CYQA,YQA,MUSKOKA,MUSKOKA,Muskoka,CANADA,CANADÁ,79.303,44.975,925,281.94
CYQB,YQB,QUEBEC JEAN LESAGE INTERNATIONAL,QUEBEC,QUEBEC,CANADA,CANADÁ,71.398,46.788,244,74.37
CYQF,YQF,RED DEER REGIONAL,RED DEER INDUSTRIAL,RED DEER INDUSTRIAL,CANADA,CANADÁ,113.893,52.179,2968,904.65
CYQG,YQG,WINDSOR,WINDSOR,WINDSOR,CANADA,CANADÁ,82.956,42.276,622,189.59
CYQH,YQH,WATSON LAKE,WATSON LAKE,Watson Lake,CANADA,CANADÁ,128.822,60.118,2255,687.32
CYQK,YQK,KENORA,KENORA,Kenora,CANADA,CANADÁ,94.363,49.788,1332,405.99
CYQL,YQL,LETHBRIDGE,LETHBRIDGE,Lethbridge,CANADA,CANADÁ,112.8,49.63,3047,928.73
CYQM,YQM,GREATER MONCTON INTERNATIONAL,MONCTON,Moncton,CANADA,CANADÁ,64.679,46.112,232,70.71
CYQN,,NAKINA,NAKINA,Nakina,CANADA,CANADÁ,86.696,50.183,1057,322.17
CYQQ,YQQ,COMOX,COMOX,Comox,CANADA,CANADÁ,124.887,49.711,84,25.6
CYQR,YQR,REGINA INTERNATIONAL,REGINA,REGINA,CANADA,CANADÁ,104.666,50.432,1894,577.29
CYQT,YQT,THUNDER BAY,THUNDER BAY,Thunder Bay,CANADA,CANADÁ,89.324,48.372,653,199.03
CYQU,YQU,GRANDE PRAIRIE,GRANDE PRAIRIE,Grande Prairie,CANADA,CANADÁ,118.885,55.18,2195,669.04
CYQV,YQV,YORKTON MUNI,YORKTON,Yorkton,CANADA,CANADÁ,102.462,51.265,1635,498.35
CYQW,YQW,NORTH BATTLEFORD,NORTH BATTLEFORD,North Battleford,CANADA,CANADÁ,108.244,52.769,1799,548.34
CYQX,YQX,GANDER INTERNATIONAL,GANDER,GANDER,CANADA,CANADÁ,54.568,48.937,496,151.18
CYQY,YQY,SYDNEY,SYDNEY,SYDNEY,CANADA,CANADÁ,60.048,46.161,203,61.87
CYQZ,YQZ,QUESNEL,QUESNEL,QUESNEL,CANADA,CANADÁ,122.51,53.026,1789,545.29
CYRB,YRB,RESOLUTE BAY,RESOLUTE,Resuelto,CANADA,CANADÁ,94.969,74.717,215,65.53
CYRI,YRI,RIVIERE DU LOUP,RIVIERE DU LOUP,RIVIERE DU LOUP,CANADA,CANADÁ,69.585,47.764,427,130.15
CYRJ,YRJ,ROBERVAL,ROBERVAL,ROBERVAL,CANADA,CANADÁ,72.266,48.52,586,178.61
CYRM,YRM,ROCKY MOUNTAIN HOUSE,ROCKY MOUNTAIN HOUSE,Rocky Mountain House,CANADA,CANADÁ,114.904,52.43,3242,988.16
CYRT,YRT,RANKIN INLET,RANKIN INLET,Rankin Inlet,CANADA,CANADÁ,92.116,62.811,94,28.65
CYRW,,,TROIS RIVIERE,Trois Riviere,CANADA,CANADÁ,0.0,0.0,0,0.0
CYSA,,,SABLE ISLAND,La isla de Sable,CANADA,CANADÁ,0.0,0.0,0,0.0
CYSB,YSB,SUDBURY,SUDBURY,SUDBURY,CANADA,CANADÁ,80.799,46.625,1140,347.47
